ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount
375,1/1/2019,1/13/2019,1/8/2019,15114,SO46701,"$2,181.56 "
369,1/1/2019,1/13/2019,1/8/2019,15116,SO46702,"$2,443.35 "
370,1/1/2019,1/13/2019,1/8/2019,13085,SO46705,"$2,443.35 "
337,1/1/2019,1/13/2019,1/8/2019,20576,SO46703,$782.99 
337,1/1/2019,1/13/2019,1/8/2019,15199,SO46707,$782.99 
370,1/1/2019,1/13/2019,1/8/2019,13059,SO46704,"$2,443.35 "
352,1/1/2019,1/13/2019,1/8/2019,20186,SO46706,"$2,071.42 "
381,1/1/2019,1/13/2019,1/8/2019,16942,SO46700,"$1,000.44 "
377,1/1/2019,1/13/2019,1/8/2019,21200,SO46708,"$2,181.56 "
375,1/2/2019,1/14/2019,1/9/2019,25046,SO46716,"$2,181.56 "
368,1/2/2019,1/14/2019,1/9/2019,25048,SO46717,"$2,443.35 "
369,1/2/2019,1/14/2019,1/9/2019,13592,SO46711,"$2,443.35 "
373,1/2/2019,1/14/2019,1/9/2019,13779,SO46712,"$2,181.56 "
375,1/2/2019,1/14/2019,1/9/2019,24976,SO46715,"$2,181.56 "
387,1/2/2019,1/14/2019,1/9/2019,19172,SO46709,"$1,000.44 "
371,1/2/2019,1/14/2019,1/9/2019,24778,SO46713,"$2,181.56 "
360,1/2/2019,1/14/2019,1/9/2019,12570,SO46718,"$2,049.10 "
356,1/2/2019,1/14/2019,1/9/2019,11484,SO46710,"$2,071.42 "
368,1/2/2019,1/14/2019,1/9/2019,13093,SO46714,"$2,443.35 "
358,1/3/2019,1/15/2019,1/10/2019,12354,SO46728,"$2,049.10 "
370,1/3/2019,1/15/2019,1/10/2019,16046,SO46721,"$2,443.35 "
370,1/3/2019,1/15/2019,1/10/2019,21002,SO46727,"$2,443.35 "
368,1/3/2019,1/15/2019,1/10/2019,12918,SO46723,"$2,443.35 "
368,1/3/2019,1/15/2019,1/10/2019,28663,SO46724,"$2,443.35 "
369,1/3/2019,1/15/2019,1/10/2019,21191,SO46725,"$2,443.35 "
373,1/3/2019,1/15/2019,1/10/2019,20999,SO46726,"$2,181.56 "
371,1/3/2019,1/15/2019,1/10/2019,13667,SO46720,"$2,181.56 "
321,1/3/2019,1/15/2019,1/10/2019,26019,SO46729,$782.99 
362,1/3/2019,1/15/2019,1/10/2019,11604,SO46719,"$2,049.10 "
385,1/3/2019,1/15/2019,1/10/2019,17095,SO46722,"$1,000.44 "
375,1/4/2019,1/16/2019,1/11/2019,24781,SO46733,"$2,181.56 "
379,1/4/2019,1/16/2019,1/11/2019,15100,SO46730,"$2,181.56 "
371,1/4/2019,1/16/2019,1/11/2019,15101,SO46731,"$2,181.56 "
371,1/4/2019,1/16/2019,1/11/2019,13226,SO46735,"$2,181.56 "
375,1/4/2019,1/16/2019,1/11/2019,13060,SO46734,"$2,181.56 "
362,1/4/2019,1/16/2019,1/11/2019,12576,SO46738,"$2,049.10 "
360,1/4/2019,1/16/2019,1/11/2019,12341,SO46736,"$2,049.10 "
354,1/4/2019,1/16/2019,1/11/2019,12346,SO46737,"$2,071.42 "
